id,id_client,id_product,qtd,total,sale_date,full_name,location,code,email,name,price,actual_category
0,42,105,11,3405.0,2023-09-10,Márcia Figueiredo,Vila do Conde (Barcarena) - PA,42,márcia.figueiredo#protonmail.com,Cabo de Nylon Danforth Prime,309.54,Ancoragem
1,3,136,9,16873.9,15-09-2024,Daniel Farias Ribeiro Teixeira,"Rio Grande,RS",3,farias.teixeira.daniel.ribeiro#gmail.com,Cabo de Nylon Bruce Flux Hydro,1973.5,Ancoragem
2,25,139,7,9475.3,2024-08-13,Femininos Antunes Lopes Ribeiro Amaral,ES / São Mateus,25,femininos.antunes.amaral.lopes.ribeiro@icloud.com,Boia de Arqueamento Danforth Torque,1424.88,Ancoragem
4,20,23,5,55893.0,2023-02-03,Bruno Silva,"PA , Santarém Novo",20,silva.bruno@zoho.com,Piloto Automático Furuno Torque Peak,11178.63,Eletrônicos
5,8,57,4,451403.9,2024-02-12,Luiz Alves Pimentel,SE - Aracaju,8,pimentel.alves.luiz#outlook.com,Motor de Popa Honda Vector Kinetic 174HP,118790.57,Propulsão
6,36,52,3,39056.4,2023-09-26,Francisca Ribeiro Pinheiro,Belém/PA,36,ribeiro.francisca.pinheiro@aol.com,Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,Propulsão
8,27,25,3,34560.05,2024-02-28,Flávia Nunes Martins Ribeiro Coelho,"Salvador,BA",27,nunes.flávia.coelho.martins.ribeiro@protonmail.com,Rádio Lowrance Nitro Thrust Barracuda,12126.46,Eletrônicos
9,37,26,7,114932.9,07-11-2023,Jéssica Pimentel Borges Nunes Teixeira,"MA , Itaqui (São Luís)",37,nunes.borges.teixeira.pimentel.jéssica#yahoo.com,Piloto Automático Furuno Core Boost Flux,17283.18,Eletrônicos
10,31,143,3,12643.55,2024-08-25,Jéssica Figueiredo Leite Martins,"São Luís,MA",31,jéssica.martins.leite.figueiredo#tutanota.com,Âncora Delta Hydra Kraken Velocity,4436.43,Ancoragem
11,39,128,5,23254.0,2023-05-07,Renata Oliveira Siqueira,PE / Suape (Ipojuca),39,oliveira.renata.siqueira@aol.com,Boia de Arqueamento Bruce Marlin Hydra,4650.72,Ancoragem
12,27,48,13,191573.0,29-07-2024,Flávia Nunes Martins Ribeiro Coelho,"Salvador,BA",27,nunes.flávia.coelho.martins.ribeiro@protonmail.com,GPS Furuno Magnum Drift,14736.35,Eletrônicos
13,43,19,2,31221.75,28-04-2024,Jéssica Farias Cunha,MA/Itaqui (São Luís),43,farias.jéssica.cunha@outlook.com,Sonda Lowrance Tidal Storm Vox,16432.35,Eletrônicos
14,13,125,15,48479.45,06-05-2024,Carlos Guimarães Martins,PA / Santarém,13,martins.guimarães.carlos#hotmail.com,Cabo de Nylon Danforth Kinetic,3402.07,Ancoragem
15,17,14,3,102061.35,2023-10-14,Luís Paiva Costa Cardoso Coelho,MS - Corumbá,17,costa.paiva.luís.coelho.cardoso@aol.com,Rádio Furuno Zen Swift,35811.08,Eletrônicos
16,39,45,2,18816.65,07-10-2024,Renata Oliveira Siqueira,PE / Suape (Ipojuca),39,oliveira.renata.siqueira@aol.com,GPS Furuno Current,9903.71,Eletrônicos
17,43,91,11,1409558.7,2023-09-05,Jéssica Farias Cunha,MA/Itaqui (São Luís),43,farias.jéssica.cunha@outlook.com,Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,Propulsão
18,25,27,3,47057.3,2024-11-28,Femininos Antunes Lopes Ribeiro Amaral,ES / São Mateus,25,femininos.antunes.amaral.lopes.ribeiro@icloud.com,GPS Garmin Vortex Maré Drift,16511.45,Eletrônicos
19,37,100,2,198740.0,2023-07-16,Jéssica Pimentel Borges Nunes Teixeira,"MA , Itaqui (São Luís)",37,nunes.borges.teixeira.pimentel.jéssica#yahoo.com,Motor Elétrico Honda Vector Abyss 220HP,104600.24,Propulsão
20,39,56,12,490071.75,27-11-2024,Renata Oliveira Siqueira,PE / Suape (Ipojuca),39,oliveira.renata.siqueira@aol.com,Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,Propulsão
21,17,71,3,390522.0,04-12-2024,Luís Paiva Costa Cardoso Coelho,MS - Corumbá,17,costa.paiva.luís.coelho.cardoso@aol.com,Motor Elétrico Torqeedo Pulse 300HP,130174.06,Propulsão
22,29,20,2,61667.0,2024-11-04,Gabriela Moraes Macedo Nunes,"CE,Fortaleza",29,moraes.nunes.gabriela.macedo@icloud.com,Radar AIS Marlin,30833.44,Eletrônicos
23,7,132,15,23445.0,04-02-2023,Bianca Barros Rocha Torres Siqueira,PB/Cabedelo,7,torres.barros.rocha.bianca.siqueira#aol.com,Corrente Bruce Nautic Evo,1562.97,Ancoragem
24,45,128,12,55809.0,09-05-2023,Amanda Santos Figueiredo Rodrigues Siqueira,"Santarém,PA",45,figueiredo.siqueira.rodrigues.amanda.santos#tutanota.com,Boia de Arqueamento Bruce Marlin Hydra,4650.72,Ancoragem
25,8,3,2,18048.0,04-02-2024,Luiz Alves Pimentel,SE - Aracaju,8,pimentel.alves.luiz#outlook.com,Radar Furuno Pulse Leviathan,9024.19,Eletrônicos
26,19,147,14,40299.95,10-05-2024,Renata Lima Gomes Coelho Mendonça,Maceió / AL,19,renata.lima.mendonça.coelho.gomes@icloud.com,Corrente Danforth Force Leviathan Impulse,3030.08,Ancoragem
27,23,97,4,541340.0,15-04-2023,Bruna Mendonça Rodrigues,Santos - SP,23,rodrigues.mendonça.bruna#aol.com,Motor de Popa Tohatsu Evo 168HP,135335.07,Propulsão
28,41,60,12,1239762.35,2023-03-20,Pedro Ribeiro Costa Santos Correia,BA / Aratu (Candeias),41,costa.correia.ribeiro.santos.pedro#yahoo.com,Motor de Popa Honda Velocity Drift 258HP,108751.09,Propulsão
29,26,109,7,4359.0,2024-03-24,Luiz Borges Gomes Araújo,Manaus/AM,26,gomes.araújo.borges.luiz#hotmail.com,Cabo de Nylon Danforth Evo Aqua Mako,622.7,Ancoragem
30,38,35,15,165083.0,2023-07-18,Mateus Antunes,TO/Fortaleza do Tabocão,38,mateus.antunes#gmail.com,Radar Furuno Swift,11005.53,Eletrônicos
31,41,91,13,1665842.1,2023-03-20,Pedro Ribeiro Costa Santos Correia,BA / Aratu (Candeias),41,costa.correia.ribeiro.santos.pedro#yahoo.com,Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,Propulsão
32,43,40,11,156024.0,2023-11-02,Jéssica Farias Cunha,MA/Itaqui (São Luís),43,farias.jéssica.cunha@outlook.com,Sonda Furuno Maré Tidal,14184.04,Eletrônicos
33,4,92,8,710833.0,26-07-2023,Thiago Moreira,"AC , Rio Branco",4,thiago.moreira#gmail.com,Motor Elétrico Yamaha Nautic Kraken 133HP,88854.1,Propulsão
34,28,73,3,429480.0,05-11-2023,Bianca Rodrigues,"PR , Antonina",28,rodrigues.bianca@icloud.com,Motor de Popa Torqeedo Core Hydra Flux 162HP,143159.93,Propulsão
